0,0.94129,-0.31026,0.13308
1,0.94024,-0.31316,0.13369
2,0.93916,-0.31614,0.13433
3,0.93807,-0.31911,0.13489
4,0.93698,-0.3221,0.13534
5,0.93591,-0.32505,0.13568
6,0.93483,-0.32801,0.13605
7,0.93371,-0.33096,0.13656
8,0.93262,-0.3339,0.13685
9,0.93151,-0.33683,0.13725
10,0.93042,-0.3397,0.13754
11,0.92931,-0.34264,0.13778
12,0.92818,-0.34557,0.13811
13,0.92705,-0.34848,0.13835
14,0.9259,-0.3514,0.13863
15,0.92475,-0.35431,0.13894
16,0.92359,-0.35723,0.13918
17,0.92241,-0.36014,0.13946
18,0.92125,-0.36303,0.13966
19,0.92008,-0.3659,0.13992
20,0.91892,-0.36872,0.14011
21,0.91773,-0.37157,0.14036
22,0.91656,-0.3744,0.14049
23,0.91535,-0.37724,0.14078
24,0.91414,-0.38006,0.1411
25,0.91294,-0.38287,0.14128
26,0.91172,-0.3857,0.14144
27,0.91048,-0.38851,0.14174
28,0.90922,-0.39136,0.14199
29,0.90798,-0.39418,0.14213
30,0.90669,-0.397,0.14251
31,0.90543,-0.39982,0.14265
32,0.90411,-0.40268,0.14294
33,0.90281,-0.40552,0.14313
34,0.9015,-0.40831,0.14346
35,0.9002,-0.41112,0.1436
36,0.89889,-0.41393,0.14376
37,0.89757,-0.41666,0.14407
38,0.89622,-0.41946,0.14437
39,0.89492,-0.42215,0.1446
40,0.8936,-0.42488,0.14477
41,0.89226,-0.4276,0.14503
42,0.8909,-0.43035,0.14528
43,0.88952,-0.4331,0.14551
44,0.88813,-0.43585,0.1458
45,0.88673,-0.4386,0.14609
46,0.88532,-0.44136,0.14634
47,0.88388,-0.44412,0.14665
48,0.88245,-0.44687,0.14693
49,0.88099,-0.44961,0.14733
50,0.87955,-0.45235,0.14754
51,0.87809,-0.45508,0.14783
52,0.87664,-0.45781,0.14804
53,0.87516,-0.46053,0.14834
54,0.87367,-0.46325,0.14869
55,0.87217,-0.46596,0.14899
56,0.87067,-0.46865,0.14934
57,0.86917,-0.47134,0.14963
